force,friction,approach,final_pos,max_pos,avg_vel,success,time_to_target
0.01,0.01,naive,-0.4396042361423639,-0.35094377413834504,0.0003019788192881801,false,Inf
0.01,0.01,ai,-0.6628162696967388,0.16594494195152787,-0.0008140813484836931,false,Inf
0.01,0.02,naive,-0.42845829275861824,-0.3544334690073468,0.0003577085362069089,false,Inf
0.01,0.02,ai,-0.5380726435774584,0.09155023187607855,-0.00019036321788729052,false,Inf
0.01,0.03,naive,-0.42513157507860794,-0.35778565270194657,0.00037434212460695995,false,Inf
0.01,0.03,ai,-0.4700802694704499,0.029143693603452488,0.0001495986526477526,false,Inf
0.01,0.04,naive,-0.42418331035987666,-0.36100614510041207,0.00037908344820061714,false,Inf
0.01,0.04,ai,-0.44180396782182557,-0.022809636674346892,0.0002909801608908739,false,Inf
0.01,0.05,naive,-0.4239264489705791,-0.36410053934115577,0.00038036775514710386,false,Inf
0.01,0.05,ai,-0.4308212195114389,-0.06675414102360863,0.0003458939024428054,false,Inf
0.02,0.01,naive,-0.3792084722847278,-0.2018875482766902,0.0006039576385763621,false,Inf
0.02,0.01,ai,-0.09365945471626629,0.6264357191891695,0.002031702726418666,false,Inf
0.02,0.02,naive,-0.3569165855172365,-0.20886693801469355,0.0007154170724138169,false,Inf
0.02,0.02,ai,-0.2195116750020883,0.6720523873151698,0.0014024416249895613,true,51.0
0.02,0.03,naive,-0.3502631501572162,-0.21557130540389302,0.0007486842492139194,false,Inf
0.02,0.03,ai,-0.29350709676318737,0.6265192485745196,0.0010324645161840602,false,Inf
0.02,0.04,naive,-0.3483666207197534,-0.22201229020082422,0.0007581668964012345,false,Inf
0.02,0.04,ai,-0.3382202721669004,0.5425120129072539,0.0008088986391655001,true,52.0
0.02,0.05,naive,-0.3478528979411581,-0.22820107868231165,0.0007607355102942107,false,Inf
0.02,0.05,ai,-0.35420126143948744,0.4235282838647382,0.0007289936928025604,false,Inf
0.03,0.01,naive,-0.31881270842709164,-0.052831322415035395,0.0009059364578645414,false,Inf
0.03,0.01,ai,-0.42268231092705294,0.6817613057087085,0.00038658844536473754,true,51.0
0.03,0.02,naive,-0.28537487827585484,-0.06330040702204043,0.001073125608620726,false,Inf
0.03,0.02,ai,-0.23715186529640628,0.6629961740624492,0.0013142406735179707,true,51.0
0.03,0.03,naive,-0.2753947252358244,-0.07335695810583964,0.0011230263738208782,false,Inf
0.03,0.03,ai,-0.235618857867607,0.6744695565120837,0.001321905710661966,true,62.0
0.03,0.04,naive,-0.27254993107963016,-0.08301843530123627,0.0011372503446018497,false,Inf
0.03,0.04,ai,-0.24619232179689643,0.6658345997358669,0.001269038391015515,true,62.0
0.03,0.05,naive,-0.2717793469117372,-0.09230161802346752,0.0011411032654413131,false,Inf
0.03,0.05,ai,-0.25672702127783426,0.6681182891639995,0.0012163648936108305,true,62.0
0.04,0.01,naive,-0.3048253962812514,0.12309154295000346,0.0009758730185937427,false,Inf
0.04,0.01,ai,0.8065707194639218,0.8065707194639218,0.006532853597319607,false,Inf
0.04,0.02,naive,-0.23165146488869054,0.10122524564629924,0.001341742675556547,false,Inf
0.04,0.02,ai,0.8127018792859788,0.8127018792859788,0.006563509396429897,true,51.0
0.04,0.03,naive,-0.2051785009675025,0.08097299280874606,0.001474107495162487,false,Inf
0.04,0.03,ai,0.8190007378381177,0.8190007378381177,0.006595003689190586,true,51.0
0.04,0.04,naive,-0.1980824234138408,0.06399548538282315,0.001509587882930796,false,Inf
0.04,0.04,ai,0.8254726596984326,0.8254726596984326,0.0066273632984921605,false,Inf
0.04,0.05,naive,-0.19605467023749404,0.047837690307986416,0.0015197266488125288,false,Inf
0.04,0.05,ai,0.8321231695626012,0.8321231695626012,0.006660615847813002,false,Inf
0.05,0.01,naive,1.8491440893430595,2.1611783911416262,0.011745720446715305,false,Inf
0.05,0.01,ai,0.806570718526348,0.806570718526348,0.006532853592631741,true,51.0
0.05,0.02,naive,1.52735808861603,2.108375087850957,0.010136790443080149,false,Inf
0.05,0.02,ai,0.8127018778065341,0.8127018778065341,0.006563509389032671,false,Inf
0.05,0.03,naive,1.5973585526014726,2.0580835303449447,0.010486792763007364,true,14.0
0.05,0.03,ai,0.8190007375801382,0.8190007375801382,0.0065950036879006925,false,Inf
0.05,0.04,naive,1.6256038494129177,2.016592896636152,0.010628019247064602,true,17.0
0.05,0.04,ai,0.8254726583747343,0.8254726583747343,0.006627363291873673,true,51.0
0.05,0.05,naive,-0.1186048806349536,0.3768334959406744,0.0019069755968252327,false,Inf
0.05,0.05,ai,0.83212314733441,0.83212314733441,0.006660615736672052,false,Inf
