force,friction,agent_type,success,target_time,total_energy,efficiency,stability,oscillations,control_effort,max_position,avg_velocity
0.01,0.01,naive,false,200,-0.11910255281260877,0.0,0.011336928376932318,21,200.0,-0.35094377413834504,0.00976135399698772
0.01,0.01,naive,false,200,-0.11910255281260877,0.0,0.011336928376932318,21,200.0,-0.35094377413834504,0.00976135399698772
0.01,0.01,active,false,200,-0.09743634688282513,0.0,0.06264844827110458,21,290.1177537484706,-0.010972785799186181,0.05349194459762705
0.01,0.01,active,false,200,-0.09743634688282513,0.0,0.06264844827110458,21,290.1177537484706,-0.010972785799186181,0.05349194459762705
0.01,0.0575,naive,false,200,-0.11964199611596887,0.0,0.005073501961564174,21,200.0,-0.366341823865019,0.0026475047066742514
0.01,0.0575,naive,false,200,-0.11964199611596887,0.0,0.005073501961564174,21,200.0,-0.366341823865019,0.0026475047066742514
0.01,0.0575,active,false,200,-0.11494227148718236,0.0,0.02671797920301459,21,292.9716783977638,-0.13625727410561211,0.015477200798084609
0.01,0.0575,active,false,200,-0.11494227148718236,0.0,0.02671797920301459,21,292.9716783977638,-0.13625727410561211,0.015477200798084609
0.01,0.105,naive,false,200,-0.11971514090052131,0.0,0.003747013264144795,21,200.0,-0.37909543832440024,0.0014440749375411134
0.01,0.105,naive,false,200,-0.11971514090052131,0.0,0.003747013264144795,21,200.0,-0.37909543832440024,0.0014440749375411134
0.01,0.105,active,false,200,-0.11706273742281167,0.0,0.018338371318844537,21,292.9716783977638,-0.2258565632796328,0.008479974600169532
0.01,0.105,active,false,200,-0.11706273742281167,0.0,0.018338371318844537,21,292.9716783977638,-0.2258565632796328,0.008479974600169532
0.01,0.1525,naive,false,200,-0.11974912053405098,0.0,0.003103035285539182,21,200.0,-0.3897036723782486,0.0009910610368086803
0.01,0.1525,naive,false,200,-0.11974912053405098,0.0,0.003103035285539182,21,200.0,-0.3897036723782486,0.0009910610368086803
0.01,0.1525,active,false,200,-0.1178496380910009,0.0,0.014252743119275093,21,292.9716783977638,-0.2857961871142411,0.005838098984842046
0.01,0.1525,active,false,200,-0.1178496380910009,0.0,0.014252743119275093,21,292.9716783977638,-0.2857961871142411,0.005838098984842046
0.01,0.2,naive,false,200,-0.11977177465432932,0.0,0.002704290620677771,21,200.0,-0.39857608202101297,0.0007548898008668311
0.01,0.2,naive,false,200,-0.11977177465432932,0.0,0.002704290620677771,21,200.0,-0.39857608202101297,0.0007548898008668311
0.01,0.2,active,false,200,-0.11826854021590096,0.0,0.011803877332221628,21,292.9716783977638,-0.32721496802339783,0.004460386246048665
0.01,0.2,active,false,200,-0.11826854021590096,0.0,0.011803877332221628,21,292.9716783977638,-0.32721496802339783,0.004460386246048665
0.0575,0.01,naive,false,200,0.442574436654376,0.0,0.09792497345670682,11,200.0,2.411928431720078,0.08423620431564499
0.0575,0.01,naive,false,200,0.442574436654376,0.0,0.09792497345670682,11,200.0,2.411928431720078,0.08423620431564499
0.0575,0.01,active,false,200,0.29503726056023755,0.0,0.038136386479112154,2,149.2729435986337,1.7740534657936031,0.01678282177318783
0.0575,0.01,active,false,200,0.29503726056023755,0.0,0.038136386479112154,2,149.2729435986337,1.7740534657936031,0.01678282177318783
0.0575,0.0575,naive,false,200,0.565623576184396,0.0,0.04498752390192547,15,200.0,2.182041410140772,0.026615953147078434
0.0575,0.0575,naive,false,200,0.565623576184396,0.0,0.04498752390192547,15,200.0,2.182041410140772,0.026615953147078434
0.0575,0.0575,active,false,200,0.31308875779901135,0.0,0.041146268727213595,4,152.3335416745424,1.9074313834921626,0.018009307029786092
0.0575,0.0575,active,false,200,0.31308875779901135,0.0,0.041146268727213595,4,152.3335416745424,1.9074313834921626,0.018009307029786092
0.0575,0.105,naive,true,15,0.06806764659763735,220.36901156092938,0.03175249801134102,1,15.0,0.5080709829769922,0.063004436436062
0.0575,0.105,naive,true,15,0.06806764659763735,220.36901156092938,0.03175249801134102,1,15.0,0.5080709829769922,0.063004436436062
0.0575,0.105,active,false,200,0.32286816084597625,0.0,0.03940125778018329,2,153.37570747606222,1.85782802175627,0.017342250907490697
0.0575,0.105,active,false,200,0.32286816084597625,0.0,0.03940125778018329,2,153.37570747606222,1.85782802175627,0.017342250907490697
0.0575,0.1525,naive,false,200,-0.016179179731075476,0.0,0.01779492377198649,19,200.0,0.2419804274429275,0.006249203606151766
0.0575,0.1525,naive,false,200,-0.016179179731075476,0.0,0.01779492377198649,19,200.0,0.2419804274429275,0.006249203606151766
0.0575,0.1525,active,false,200,0.3285662292861119,0.0,0.03716849239237431,4,154.6617454773807,1.7935594196379592,0.016564568601365817
0.0575,0.1525,active,false,200,0.3285662292861119,0.0,0.03716849239237431,4,154.6617454773807,1.7935594196379592,0.016564568601365817
0.0575,0.2,naive,false,200,-0.025735134637880325,0.0,0.01554796893744906,20,200.0,0.11836239462227843,0.004537647111331389
0.0575,0.2,naive,false,200,-0.025735134637880325,0.0,0.01554796893744906,20,200.0,0.11836239462227843,0.004537647111331389
0.0575,0.2,active,false,200,0.3378550028599146,0.0,0.0366458929183897,2,158.47580638249835,1.9281310016819968,0.017671542873960996
0.0575,0.2,active,false,200,0.3378550028599146,0.0,0.0366458929183897,2,158.47580638249835,1.9281310016819968,0.017671542873960996
0.105,0.01,naive,false,200,0.7819867478158851,0.0,0.21926581622166352,19,200.0,3.1776127477138347,0.18811671711653133
0.105,0.01,naive,false,200,0.7819867478158851,0.0,0.21926581622166352,19,200.0,3.1776127477138347,0.18811671711653133
0.105,0.01,active,false,200,0.2800206449448121,0.0,0.041163315080903116,2,78.8382842910568,1.8820508282089,0.017857422380546936
0.105,0.01,active,false,200,0.2800206449448121,0.0,0.041163315080903116,2,78.8382842910568,1.8820508282089,0.017857422380546936
0.105,0.0575,naive,false,200,0.830543895704729,0.0,0.09944205847323544,22,200.0,2.955616457279904,0.05417563489023619
